lemma,freq
diocésain,0.14
diode,0.07
diodon,0.20
dionysiaque,0.47
dionysien,0.07
dionée,0.03
dioptre,0.07
diorama,0.34
diorite,0.04
dioxine,0.14
dioxyde,0.56
diphtongue,0.34
diphtérie,0.68
diphényle,0.07
diplodocus,0.68
diplomate,8.65
diplomatie,5.68
diplomatique,10.00
diplomatiquement,0.20
diplopie,0.03
diplôme,17.27
diplômer,4.29
diplômé,1.81
dipneuste,0.07
dipsomane,0.26
dipsomanie,0.01
diptyque,0.14
dipôle,0.01
dire,5946.15
direct,26.69
directement,39.12
directeur,64.71
directeur-adjoint,0.14
directif,0.34
direction,108.04
directionnel,0.57
directive,4.93
directo,0.41
directoire,2.09
directorat,0.01
directorial,1.28
directos,0.41
dirham,0.43
dirigeable,0.62
dirigeant,10.00
diriger,95.68
dirigé,1.22
dirimant,0.14
dirlo,1.76
disant,7.09
disc-jockey,0.18
discal,0.13
discernable,0.47
discernement,2.50
discerner,15.20
disciple,14.46
disciple-roi,0.07
disciplinaire,1.28
discipline,22.03
discipliner,1.42
discipliné,2.16
disco,1.81
discobole,0.24
discographie,0.01
discontinu,1.49
discontinuer,1.82
discontinuité,0.68
discordance,0.68
discordant,2.91
discorde,2.09
discothèque,1.32
discount,0.39
discoureur,0.14
discourir,4.12
discours,50.54
discourtois,0.41
discret,33.04
discriminant,0.07
discrimination,1.60
discriminatoire,0.15
discriminer,0.18
discrètement,19.73
discrédit,0.61
discréditer,1.61
discrétion,21.22
discrétionnaire,0.20
disculpation,0.04
disculper,1.55
discussion,33.51
discutable,1.01
discutailler,0.81
discutailleur,0.07
discuter,96.42
discuté,0.79
disert,0.88
disette,1.76
diseur,0.68
disfonctionnement,0.44
disgracier,0.68
disgracieusement,0.07
disgracieux,2.30
disgracié,0.61
disgrâce,4.46
disharmonie,0.07
disjoindre,1.49
disjoint,2.03
disjoncter,3.31
disjoncteur,1.45
disjonction,0.14
diskette,0.81
dislocation,1.35
disloquer,4.80
disloqué,3.24
disparaissant,1.15
disparate,3.18
disparaître,183.31
disparition,23.38
disparité,0.27
disparu,14.80
dispatcher,0.07
dispatching,0.14
dispendieusement,0.07
dispendieux,0.47
dispensable,0.01
dispensaire,1.76
dispensateur,1.15
dispensation,0.07
dispense,1.11
dispenser,11.15
dispensé,0.14
dispersant,0.07
dispersement,0.14
disperser,18.85
dispersif,0.01
dispersion,4.19
dispersé,4.32
dispo,0.44
disponibilité,3.58
disponible,13.19
dispos,2.03
disposant,0.14
disposer,83.18
dispositif,5.74
disposition,45.07
disposé,4.19
disproportion,0.95
disproportionné,0.95
dispute,16.54
disputer,39.31
disputeur,0.07
disputé,0.54
disquaire,0.54
disqualification,0.15
disqualifier,1.51
disqualifié,0.27
disque,42.16
disque-jockey,0.07
disquette,2.48
disruptif,0.01
disruption,0.01
dissection,0.88
dissemblable,1.69
dissemblance,0.27
dissension,1.28
dissentiment,0.34
dissertation,3.04
disserter,1.28
dissidence,0.81
dissident,0.88
dissimiler,0.01
dissimulateur,0.20
dissimulation,2.30
dissimuler,51.01
dissimulé,3.51
dissipateur,0.27
dissipation,0.95
dissiper,19.59
dissipé,1.49
dissociatif,0.28
dissociation,0.41
dissocier,3.04
dissolu,0.82
dissolution,2.50
dissolvant,1.01
dissonance,0.54
dissonant,0.27
dissoudre,12.30
dissous,0.27
dissoute,2.57
dissuader,3.72
dissuasif,0.21
dissuasion,0.29
dissymétrie,0.54
dissymétrique,0.27
dissémination,0.14
disséminer,2.16
disséminé,0.47
disséquer,2.16
disséqueur,0.01
distal,0.19
distance,62.43
distancer,1.96
distanciation,0.01
distancier,0.25
distant,7.50
distendre,3.24
distendu,2.64
distension,0.07
distillat,0.07
distillateur,0.14
distillation,0.47
distiller,4.05
distillerie,0.98
distinct,9.46
distinctement,6.76
distinctif,1.62
distinction,10.14
distinguer,74.12
distinguo,0.20
distingué,9.39
distordre,0.61
distorsion,1.05
distraction,14.05
distraire,27.77
distrait,13.78
distraitement,13.51
distrayant,1.08
distribuer,25.54
distributeur,7.88
distribution,8.85
distribué,0.81
district,6.14
dit,21.24
dithyrambe,0.34
dithyrambique,0.47
dito,0.34
diurnal,0.07
diurne,2.03
diurèse,0.07
diurétique,0.28
diva,4.16
divagant,0.20
divagation,2.23
divaguer,4.26
divan,24.46
dive,0.20
divergence,2.84
divergent,2.23
diverger,1.01
divers,52.77
diversement,0.74
diverses,8.04
diversification,0.14
diversifier,0.88
diversion,6.22
diversité,3.85
diverticule,0.03
diverticulose,0.04
divertimento,0.14
divertir,4.49
divertissant,1.55
divertissement,5.47
dividende,0.57
divin,26.55
divination,1.08
divinatoire,0.27
divinement,1.28
divinisant,0.07
divinité,5.95
diviser,16.69
diviseur,0.20
divisible,0.27
division,43.51
divisionnaire,3.45
divisionnisme,0.07
divisé,1.62
divorce,23.23
divorcer,27.50
divorcé,2.37
divulgation,0.61
divulguer,2.48
dix,209.86
dix-cors,0.88
dix-huit,31.69
dix-huitième,1.89
dix-neuf,10.54
dix-neuvième,1.22
dix-sept,19.59
dix-septième,1.22
dixie,1.40
dixieland,0.14
dixit,0.68
dixième,4.32
dixièmement,0.02
dizain,0.14
dizaine,44.73
dièdre,0.41
dièse,0.27
diète,0.54
diéthylénique,0.01
diététicien,0.61
diététique,1.03
diététiste,0.01
djebel,2.84
djellaba,1.69
djemââ,0.07
djihad,0.44
djinn,0.61
dm,0.40
dna,0.09
do,16.66
doberman,1.03
doc,4.04
doche,0.07
docile,9.66
docilement,5.54
docilité,3.85
dock,3.99
docker,3.18
docte,1.89
doctement,0.54
docteur,233.86
doctissime,0.03
doctoral,0.81
doctorat,4.07
doctrinaire,0.27
doctrinal,0.47
doctrine,7.77
docudrame,0.03
document,24.86
documentaire,4.88
documentaliste,0.29
documentariste,0.04
documentation,2.43
documenter,1.53
documenté,0.39
dodelinant,0.27
dodeliner,2.77
dodo,7.53
dodu,5.00
dodécagone,0.07
dodécaphoniste,0.07
dodécaèdre,0.14
dog-cart,0.04
dogaresse,0.14
doge,3.45
dogger,0.14
dogmatique,1.01
dogmatisme,0.34
dogme,2.77
dogue,1.42
doguin,0.07
doigt,256.15
doigter,0.10
doigtier,0.20
doigté,1.15
doit,0.27
dojo,0.93
dol,0.34
dolby,0.05
dolce,1.53
dolent,2.36
dolichocéphale,0.20
dolichocéphalie,0.07
doline,0.01
dolique,0.01
dollar,134.10
dolman,1.15
dolmen,1.89
dolomite,0.08
dolorisme,0.07
doloriste,0.07
doléance,1.76
dom,0.39
domaine,46.22
domanial,0.47
domestication,0.47
domesticité,0.88
domestique,18.51
domestiquement,0.07
domestiquer,3.58
domicile,15.34
domiciliation,0.07
domicilier,0.74
domicilié,0.53
dominance,0.14
dominant,3.85
dominante,1.15
dominateur,1.49
domination,5.88
dominer,50.61
dominicain,2.57
dominical,2.97
dominion,0.54
domino,3.18
dommage,65.59
dommageable,0.20
dommages-intérêts,0.04
domotique,0.02
domptage,0.14
dompter,3.24
dompteur,2.57
dompté,0.20
don,43.78
dona,1.15
donateur,1.69
donation,1.89
donc,612.51
dondaine,0.14
dondon,0.47
dong,0.97
donjon,3.31
donjuanesque,0.47
donjuanisme,0.54
donnant,3.78
donnant-donnant,0.73
donne,25.03
donner,1209.67
donneur,6.76
donné,13.65
donnée,20.92
donquichottesque,0.20
donquichottisme,0.01
dont,960.34
donzelle,1.22
dopage,0.10
dopamine,1.10
dopant,0.18
dope,7.47
doper,1.33
doping,0.34
doppler,0.01
dorade,0.62
dorage,0.07
dorer,15.14
dorique,0.47
dorloter,2.43
dormance,0.07
dormant,4.26
dormeur,5.95
dormir,392.09
dormitif,0.20
dormition,0.14
dorsal,1.12
dorsale,0.14
dortoir,12.36
dorure,3.99
doryphore,0.81
doré,50.47
dorée,1.55
dorénavant,7.20
dos,213.99
dos-d'âne,0.34
dosage,1.89
dose,18.44
doser,2.91
doseur,0.19
dosimètre,0.03
dossard,0.54
dosseret,0.07
dossier,78.91
dossière,0.27
dot,4.73
dotation,0.41
doter,8.99
doté,0.54
douaire,0.07
douane,9.46
douanier,7.57
douar,0.61
doublage,0.43
doublard,0.14
double,58.99
double-cliquer,0.09
double-croche,0.01
double-décimètre,0.07
double-fond,0.01
double-six,0.20
doubleau,0.20
doublement,4.26
doubler,22.84
doublet,0.20
doublette,0.14
doubleur,0.09
doublon,0.41
doublonner,0.01
doublure,4.53
doublé,1.22
douce,0.01
douce-amère,0.27
doucement,128.38
doucereusement,0.20
doucereux,2.97
doucet,1.01
doucette,0.14
doucettement,0.41
douceur,70.00
douceâtre,2.70
douche,36.06
doucher,6.75
doucheur,0.07
doucin,0.14
doucine,0.01
doudou,6.76
doudoune,0.92
douelle,0.61
douer,20.29
douglas,0.09
douille,3.67
douiller,1.28
douillet,6.96
douillette,0.41
douillettement,0.54
douleur,91.89
douloureusement,5.54
douloureux,37.50
douma,0.34
doura,0.07
douro,0.54
doutance,0.27
doute,350.07
douter,88.11
douteusement,0.07
douteux,15.95
douve,1.42
doux,145.07
doux-amer,0.04
douzaine,18.58
douze,48.18
douzième,2.77
douçâtre,0.07
doué,12.73
down,0.54
downing street,0.34
doyen,6.76
doyenné,0.07
doña,2.44
drachme,2.57
draconien,0.54
drag,0.73
dragage,0.15
drageoir,0.47
dragon,13.98
dragonnier,0.10
dragster,0.04
drague,3.11
draguer,21.00
dragueur,1.49
dragée,3.04
drain,1.11
drainage,0.61
drainer,1.22
draisienne,0.07
draisine,0.07
drakkar,0.27
dramatique,11.35
dramatiquement,0.41
dramatisation,0.17
dramatiser,2.42
dramaturge,0.88
dramaturgie,0.26
drame,39.93
drap,74.12
drapeau,37.64
draper,7.23
draperie,3.31
drapier,0.47
drapé,2.30
drastique,0.50
drastiquement,0.02
drave,0.07
dreadlocks,0.11
dream team,0.07
drelin,0.43
drepou,0.07
dressage,1.82
dressant,0.07
dressement,0.07
dresser,99.86
dresseur,0.86
dressing,0.28
dressing-room,0.01
dressoir,0.47
dressé,11.82
dreyfusard,0.27
dreyfusisme,0.07
dribble,0.69
dribbler,0.81
dribbleur,0.14
dribler,0.25
drift,0.07
drifter,37.50
drill,0.07
drille,1.22
dring,0.61
drink,0.92
drisse,0.81
drive,1.45
drive-in,0.94
driver,0.61
drogman,0.27
drogue,58.76
droguer,13.15
droguerie,0.54
droguet,1.08
droguiste,0.61
drogué,6.35
droit,207.62
droit-fil,0.07
droite,117.97
droitement,0.07
droitier,0.76
droiture,1.76
drolatique,0.54
dromadaire,1.22
drome,0.07
drone,1.79
drone-espion,0.02
dronte,0.07
drop,1.11
droppage,0.04
drosophile,0.10
dross,0.07
drossart,0.07
drosser,0.41
droséra,0.01
dru,9.53
drugstore,1.89
druide,4.86
druidesse,0.20
druidique,0.74
druidisme,0.54
drumlin,0.11
drummer,0.17
drums,0.07
druze,1.28
dry,1.22
dryade,0.27
drège,0.01
drépanocytose,0.01
drôle,144.48
drôlement,24.86
drôlerie,3.72
drôlesse,0.21
drôlet,0.41
du,6882.16
dual,0.07
dualisme,0.34
dualiste,0.01
dualité,0.68
dubitatif,2.30
dubitation,0.14
dubitativement,0.14
duc,23.51
ducal,1.08
ducasse,0.27
ducat,1.28
ducaton,0.14
duce,2.97
duchnoque,0.07
duché,0.14
ducon,6.86
ductile,0.27
dudit,1.08
duel,7.54
duelliste,0.21
duffel-coat,0.07
duffle-coat,0.34
dugong,0.27
duit,0.07
dulcinée,0.47
dum-dum,0.27
dumper,0.01
dumping,0.07
dundee,0.07
dune,12.84
dunette,0.68
dunkerque,0.14
duo,2.58
duodi,0.07
duodénal,0.03
duodénum,0.27
duopole,0.01
dupe,8.51
duper,4.77
duperie,0.88
dupeur,0.01
duplex,1.35
duplicata,0.41
duplicate,0.03
duplicateur,0.23
duplication,0.47
duplice,0.14
duplicité,1.28
dupliquer,0.31
duquel,30.20
dur,187.84
durabilité,0.01
durable,5.95
durablement,0.74
duraille,2.43
duralumin,0.27
durant,65.95
durci,4.12
durcir,13.99
durcissement,0.74
durcisseur,0.03
dure,5.81
dure-mère,0.07
durement,12.97
durer,101.62
dureté,12.23
durham,0.09
durian,2.21
durillon,1.01
durit,0.04
durite,0.50
durée,19.39
duvet,8.85
duveteux,1.76
duveté,0.47
duègne,0.81
dyke,0.16
dynamique,2.68
dynamiser,0.20
dynamisme,1.82
dynamitage,0.07
dynamite,8.12
dynamiter,0.90
dynamiteur,0.34
dynamo,0.95
dynamomètre,0.07
dynamométrique,0.01
dynastie,3.65
dynastique,0.07
dyscinésie,0.01
dyscrasie,0.01
dysenterie,1.49
dysentérique,0.27
dysfonction,0.09
dysfonctionnement,0.77
dyslexie,0.12
dyslexique,0.46
dysménorrhée,0.01
dyspepsie,0.14
dyspepsique,0.07
dyspeptique,0.07
dysphonie,0.01
dysphorie,0.02
dysplasie,0.07
dyspnée,0.05
dyspnéique,0.14
dysthymie,0.10
dystocie,0.03
dystrophie,0.05
dysurie,0.01
dytique,0.07
dèche,1.96
dès,275.07
dé,23.36
déambulant,0.14
déambulateur,0.13
déambulation,1.42
déambulatoire,0.14
déambuler,7.70
débagoulage,0.07
débagouler,0.68
déballage,1.76
déballer,6.69
déballonnage,0.07
déballonner,0.74
débandade,3.51
débander,2.43
débaptiser,0.27
débarbot,0.20
débarbouiller,2.77
débarbouillette,0.02
débarcadère,1.62
débardage,0.20
débarder,0.41
débardeur,1.42
débarquement,15.00
débarquer,34.39
débarqué,1.15
débarras,6.96
débarrasser,61.77
débarrer,0.20
débat,15.81
débatteur,0.07
débattre,26.42
débattue,0.01
débauche,9.39
débaucher,1.69
débaucheur,0.02
débauché,1.35
débectage,0.07
débectance,0.20
débecter,1.89
débile,21.09
débilement,0.02
débilitant,0.27
débilitation,0.14
débilité,0.88
débiller,0.07
débine,0.88
débiner,3.18
débit,6.35
débitage,0.07
débitant,0.27
débite,0.07
débiter,14.46
débiteur,1.28
déblai,0.74
déblaiement,0.74
déblatérer,0.47
déblayage,0.14
déblayer,4.19
déblayeur,0.01
déblocage,0.27
débloquer,6.07
débobinage,0.07
débobiner,0.07
débogage,0.01
déboguer,0.04
déboire,3.51
déboisement,0.01
déboiser,0.54
débonder,0.61
débonnaire,3.11
débord,0.14
débordant,4.66
débordement,3.78
déborder,31.62
débotté,0.16
débouchage,0.01
déboucher,33.45
déboucheur,0.20
débouchoir,0.02
débouché,3.51
déboucler,2.91
débouler,6.22
déboulonner,0.95
déboulé,0.41
débourrage,0.07
débourrer,0.54
débours,0.20
déboursement,0.01
débourser,1.02
déboussoler,1.73
débouter,0.34
déboutonnage,0.27
déboutonner,8.24
déboîtement,0.01
déboîter,1.08
débraguetter,0.54
débraillé,1.55
débranchement,0.02
débrancher,6.09
débrayage,0.47
débrayer,1.42
débridement,0.04
débrider,1.69
débridé,0.95
débriefer,0.19
débriefing,0.58
débris,13.85
débronzer,0.02
débrouillage,0.14
débrouillard,1.28
débrouillardise,0.34
débrouille,0.34
débrouiller,46.72
débroussaillage,0.14
débroussailler,0.54
débucher,0.07
débusquer,2.50
début,141.49
débutant,5.82
débuter,10.08
débâcle,6.69
déc,0.30
déca,1.16
décabosser,0.01
décachetage,0.01
décacheter,2.43
décade,1.15
décadence,4.73
décadent,1.47
décadentisme,0.07
décadi,0.34
décaféiné,0.22
décaissement,0.01
décaisser,0.14
décalage,3.92
décalcification,0.01
décalcomanie,0.61
décalcomanies,0.01
décaler,1.42
décalitre,0.14
décalogue,0.20
décalotter,0.34
décalque,0.47
décalquer,1.08
décalé,0.68
décambuter,0.20
décamper,4.02
décamètre,0.20
décan,0.07
décaniller,0.61
décantation,0.10
décanter,1.28
décanteur,0.01
décapage,0.01
décapant,0.34
décaper,2.09
décapeur,0.07
décapitation,0.55
décapiter,6.96
décapode,0.07
décapotable,2.30
décapotage,0.07
décapoter,0.27
décapoté,0.47
décapsuler,1.35
décapsuleur,0.34
décapuchonner,0.41
décarcasser,0.61
décarpillage,0.20
décarpiller,0.14
décarrade,2.50
décarrer,4.32
décathlon,0.27
décati,0.61
décatir,0.47
décavé,0.27
décelable,0.20
déceler,11.15
décembre,31.22
décembriste,0.20
décemment,2.57
décence,2.92
décennal,0.07
décennie,2.67
décent,5.95
décentralisation,0.07
décentrement,0.01
déception,16.82
décerner,3.51
décervelage,0.14
décerveler,0.27
décevant,4.59
décevoir,33.23
déchanter,1.55
déchard,0.27
décharge,12.77
déchargement,0.88
décharger,11.89
déchargeur,0.07
décharnement,0.07
décharner,1.62
décharné,5.20
déchausser,2.91
déchaussé,0.95
déchaînement,3.38
déchaîner,13.18
déchaîné,4.80
décher,0.34
déchet,7.04
déchetterie,0.11
déchiffrable,0.47
déchiffrage,0.41
déchiffrement,1.22
déchiffrer,15.81
déchiffreur,0.14
déchiquetage,0.27
déchiqueter,5.74
déchiqueteur,0.20
déchiqueté,4.66
déchirage,0.14
déchirant,10.27
déchirement,5.68
déchirer,53.11
déchireur,0.02
déchirure,7.03
déchiré,13.38
déchoir,3.04
déchouer,0.01
déchu,3.85
déchéance,6.42
déci,0.01
décibel,0.88
décider,214.19
décideur,0.23
décidé,10.07
décidément,30.81
décigramme,0.14
décile,0.01
décilitre,0.07
décimal,0.47
décimalisation,0.01
décimalité,0.01
décimateur,0.01
décimation,0.42
décimer,3.85
décimètre,0.81
décisif,16.01
décision,66.48
décision-clé,0.01
décisionnaire,0.04
décisionnel,0.05
déclamation,0.81
déclamatoire,0.54
déclamer,5.00
déclancher,0.22
déclarant,0.07
déclaration,21.82
déclaratoire,0.03
déclarer,73.18
déclaré,2.36
déclassement,0.20
déclasser,0.54
déclassé,0.95
déclenchant,0.04
déclenche,0.20
déclenchement,2.50
déclencher,22.91
déclencheur,0.94
déclic,7.97
déclin,6.42
déclinaison,0.47
déclinant,2.97
décliner,11.28
déclive,0.34
déclivité,1.08
déclouer,0.88
déco,2.25
décocher,4.05
décoction,1.08
décodage,0.19
décoder,3.04
décodeur,0.39
décoffrage,0.02
décoiffer,3.18
décoincer,0.93
décoinçage,0.01
décollage,7.23
décollation,0.07
décollement,0.27
décoller,21.15
décolleter,0.95
décolleté,3.92
décolonisation,0.41
décolorant,0.07
décoloration,0.53
décolorer,3.58
décoloré,3.38
décolérer,0.81
décommander,2.77
décompensation,0.01
décompenser,0.05
décompliquer,0.02
décomposable,0.07
décomposer,7.43
décomposeur,0.01
décomposition,3.45
décomposé,2.97
décompresser,1.11
décompression,0.50
décomprimer,0.01
décompte,1.15
décompter,0.47
déconcentration,0.07
déconcentrer,0.88
déconcertant,4.39
déconcerter,7.09
déconcerté,2.64
déconditionnement,0.03
déconditionner,0.01
déconfire,0.41
déconfit,0.88
déconfiture,1.55
décongeler,0.52
décongestif,0.01
décongestion,0.01
décongestionner,0.14
décongélation,0.31
déconnage,0.61
déconnecter,2.60
déconnection,0.03
déconner,39.86
déconneur,0.20
déconnexion,0.16
déconomètre,0.07
déconophone,0.20
déconseiller,2.83
déconsidération,0.01
déconsidérer,1.22
déconsigner,0.20
déconstiper,0.07
déconstruction,0.08
décontamination,0.96
décontaminer,0.17
décontenancer,2.77
décontenancé,2.84
décontract,0.24
décontracter,1.54
décontraction,1.28
décontracté,1.07
déconvenue,2.16
décor,45.61
décorateur,3.11
décoratif,4.12
décoration,11.76
décorer,20.20
décorner,0.27
décorticage,0.14
décortication,0.01
décortiquer,2.64
décortiqué,0.20
décorum,0.54
décoré,2.97
découcher,1.03
découdre,2.36
découler,4.12
découpage,1.96
découpe,2.30
découper,32.70
découpeur,0.17
découplage,0.01
découpler,0.07
découplé,0.27
découpure,1.01
découpé,3.38
décourageant,1.96
découragement,6.82
décourager,15.47
découragé,4.32
décours,0.14
décousu,1.62
découvert,10.07
découverte,29.53
découvreur,0.81
découvrir,198.18
décramponner,0.07
décrassage,0.20
décrasser,1.49
décret,9.12
décret-loi,0.07
décrier,0.68
décriminaliser,0.01
décrire,40.20
décrisper,0.54
décrit,1.54
décrié,0.54
décrochage,0.54
décrochant,0.07
décrochement,0.47
décrocher,30.41
décrochez-moi-ça,0.07
décroiser,1.96
décroissance,0.01
décroissant,1.08
décrotter,0.68
décrottoir,0.14
décroît,0.07
décroître,6.69
décrue,0.14
décryptage,0.20
décrypter,0.89
décrypteur,0.27
décrédibiliser,0.02
décrépit,0.60
décrépitude,1.62
décréter,10.74
décrêpage,0.07
décrêper,0.14
déculotter,1.82
déculotté,0.27
déculottée,0.13
déculpabiliser,0.14
décuple,0.07
décupler,3.24
décuplé,0.54
décuver,0.04
décès,12.82
décéder,8.38
décédé,3.02
décélération,0.30
décélérer,0.06
décérébration,0.03
décérébrer,0.22
dédaigner,10.47
dédaigneuse,0.07
dédaigneusement,1.15
dédaigneux,6.55
dédain,10.07
dédale,5.88
dédicace,2.30
dédicacer,1.91
dédicacé,0.76
dédicatoire,0.41
dédier,8.69
dédire,0.61
dédit,0.41
dédié,0.30
dédommagement,1.18
dédommager,3.05
dédouanement,0.14
dédouaner,0.74
dédoublement,1.01
dédoubler,2.03
dédramatiser,0.27
déducteur,0.14
déductibilité,0.07
déductible,0.56
déductif,0.16
déduction,2.16
déduire,7.08
déduit,0.27
déesse,13.56
défaillance,7.57
défaillant,2.30
défaillir,5.47
défaire,32.23
défait,9.86
défaite,21.82
défaitisme,0.68
défaitiste,1.26
défalquer,0.27
défarguer,0.61
défausser,0.07
défaut,38.45
défaveur,0.41
défavorable,2.91
défavorablement,0.20
défavorisé,0.54
défectible,0.07
défectif,0.01
défection,1.35
défectueusement,0.07
défectueux,2.54
défectuosité,0.14
défendable,0.20
défendeur,0.50
défendre,91.08
défends,0.20
défendu,4.80
défenestration,0.09
défenestrer,0.44
défens,0.01
défense,52.30
défenseur,6.35
défensif,2.35
défensive,1.89
déferlant,0.34
déferlante,0.34
déferlement,4.66
déferler,11.28
déferrer,0.10
déferré,0.07
défi,17.36
défiance,2.09
défiant,0.43
défibreur,0.01
défibrillateur,0.58
défibrillation,0.14
déficeler,0.27
déficience,1.22
déficient,0.74
déficit,1.92
déficitaire,0.34
défier,13.49
défiger,0.07
défiguration,0.25
défigurement,0.01
défigurer,5.41
défiguré,1.69
défilement,0.68
défiler,32.64
défilé,14.73
défini,3.38
définir,14.53
définissable,0.20
définitif,31.76
définition,7.23
définitivement,23.51
déflagration,2.09
déflationniste,0.02
déflecteur,0.20
déflexion,0.09
défloraison,0.20
défloration,0.20
déflorer,0.89
défoliant,0.01
défonce,0.95
défoncement,0.34
défoncer,16.85
défonceuse,0.14
défoncé,5.68
déforestation,0.04
déformant,0.95
déformation,2.43
déformer,12.43
déformé,3.65
défoulement,0.27
défouler,3.39
défouloir,0.15
défourailler,0.81
défragmenteur,0.01
défraiement,0.42
défrayer,1.55
défraîchi,2.77
défraîchir,1.01
défrichage,0.14
défrichement,0.47
défricher,1.82
défrisage,0.01
défriser,1.01
défroisser,1.28
défroque,2.16
défroquer,0.47
défroqué,0.61
défunt,6.42
défunter,0.14
défécation,0.81
défécatoire,0.41
déféminiser,0.01
déféquer,0.92
déférence,4.26
déférent,2.70
déférer,0.47
dégagement,0.74
dégager,102.47
dégagé,6.35
dégaine,3.18
dégainer,4.95
dégarni,1.82
dégarnir,1.01
dégauchir,2.57
dégauchisseuse,0.07
dégazage,0.03
dégazer,0.14
dégel,3.31
dégeler,1.15
dégelée,1.35
dégingandé,2.03
dégivrage,0.03
dégivrer,0.15
déglacer,0.06
déglingue,0.34
déglinguer,3.72
déglingué,2.43
déglutir,3.18
déglutition,1.08
dégobillage,0.01
dégobiller,0.88
dégoiser,1.35
dégommage,0.14
dégommer,2.49
dégonflage,0.07
dégonflard,0.27
dégonflement,0.01
dégonfler,6.08
dégonflé,3.63
dégorgement,0.14
dégorger,2.36
dégoter,3.47
dégotter,2.16
dégoulinade,0.41
dégoulinant,3.99
dégoulinement,0.07
dégouliner,8.38
dégoupiller,0.74
dégourdi,0.88
dégourdir,3.31
dégouttant,0.34
dégoutter,1.28
dégoût,30.14
dégoûtant,15.92
dégoûtation,0.47
dégoûter,18.39
dégoûté,5.81
dégradable,0.01
dégradant,1.67
dégradation,2.91
dégrader,4.46
dégradé,1.15
dégrafer,4.93
dégrafeur,0.01
dégraissage,0.07
dégraissant,0.01
dégraisser,0.41
dégriffer,0.14
dégriffeur,0.27
dégriffé,0.07
dégringolade,1.89
dégringoler,12.43
dégripper,0.07
dégrisement,0.20
dégriser,1.55
dégrossi,0.95
dégrossir,0.41
dégrossissage,0.07
dégrouiller,0.47
dégrèvement,0.07
dégréner,0.07
déguenillé,0.27
déguerpir,3.75
dégueu,3.41
dégueulando,0.20
dégueulasse,19.98
dégueulassement,0.14
dégueulasser,1.01
dégueulasserie,0.61
dégueuler,3.65
dégueulis,1.15
déguisement,5.07
déguiser,16.96
déguisé,3.65
dégustateur,0.20
dégustation,1.82
déguster,11.96
dégât,14.22
dégénératif,0.28
dégénération,0.10
dégénérer,2.95
dégénérescence,1.22
dégénéré,2.16
déhaler,0.27
déhanchement,1.76
déhancher,1.76
déhanché,0.74
déhiscence,0.14
déhotter,0.68
déicide,0.14
déification,0.07
déifier,0.34
déisme,0.10
déité,0.20
déjanter,0.86
déjanté,0.58
déjection,2.36
déjeté,0.47
déjeuner,59.66
déjouer,4.39
déjuger,0.07
déjà,702.23
déjà-vu,0.34
dékoulakisation,0.07
délabrement,1.62
délabrer,1.49
délabré,4.59
délacer,1.22
délai,18.85
délaissement,0.68
délaisser,7.77
délaissé,2.64
délassant,0.20
délassement,0.47
délasser,1.42
délateur,0.88
délation,1.55
délaver,2.23
délavé,4.86
délayage,0.20
délayer,2.84
délayé,0.20
délectable,2.16
délectation,3.38
délecter,3.58
délestage,0.14
délester,3.04
délibération,1.89
délibératoire,0.01
délibérer,3.78
délibéré,2.70
délibérément,5.47
délicat,37.03
délicatement,10.34
délicatesse,13.58
délice,19.73
délicieusement,5.27
délicieux,29.22
délictueux,0.41
délier,4.86
délimitant,0.07
délimitation,0.34
délimiter,5.54
délinquance,1.54
délinquant,4.16
déliquescence,0.16
déliquescent,0.41
délirant,5.61
délire,19.80
délirer,13.73
délit,13.52
délivrance,5.74
délivre,0.34
délivrer,31.15
délié,2.36
délocalisation,0.06
délocaliser,0.09
déloger,3.45
déloquer,1.69
délourder,0.20
déloyal,1.41
déloyalement,0.14
déloyauté,0.34
déluge,8.58
déluré,0.81
délustrer,0.07
délégation,12.77
déléguer,6.62
délégué,12.16
délégué-général,0.14
délétère,1.01
démagnétiser,0.12
démago,0.03
démagogie,1.35
démagogique,0.47
démagogue,0.54
démailler,0.20
démailloter,0.34
démancher,0.20
démangeaison,2.30
démanger,3.51
démanteler,1.83
démantibuler,1.76
démantèlement,0.41
démaquillage,0.14
démaquillant,0.41
démaquiller,1.49
démarcation,1.76
démarchage,0.07
démarche,32.91
démarcher,0.27
démarcheur,1.15
démarier,0.07
démarquer,0.94
démarrage,3.31
démarrer,35.67
démarreur,2.23
démasquage,0.01
démasquer,6.41
dématérialisation,0.01
dématérialiser,0.18
démembrement,0.34
démembrer,0.87
démence,2.75
démener,3.72
dément,3.72
démenti,2.70
démentiel,1.42
démentir,6.35
démerdard,0.16
démerde,0.20
démerder,6.42
démesure,1.15
démesuré,8.38
démesurément,4.19
démettre,1.28
démilitarisation,0.14
déminage,0.69
déminer,0.20
démineur,0.54
démis,0.41
démission,7.60
démissionnaire,0.41
démissionner,17.79
démiurge,1.01
démobilisateur,0.14
démobilisation,1.28
démobiliser,1.28
démobilisé,0.54
démocrate,3.68
démocrate-chrétien,0.21
démocratie,15.68
démocratique,5.74
démocratiquement,0.27
démocratisation,0.20
démocratiser,0.20
démoder,1.55
démodulateur,0.03
démodé,3.58
démographie,0.54
démographique,0.54
démographiquement,0.07
démolir,18.81
démolisseur,0.61
démolition,2.36
démon,61.00
démoniaque,5.52
