lemma,freq
achèvement,1.82
achélème,1.69
acid jazz,0.03
acide,9.46
acidité,0.95
acidocétose,0.08
acidose,0.22
acidulé,1.55
acier,34.46
aciérie,2.21
acmé,0.01
acné,1.90
acolyte,1.96
acompte,3.67
aconit,0.34
acoquiner,1.01
acouphène,0.18
acoustique,0.81
acqua-toffana,0.07
acquiescement,2.84
acquiescer,12.43
acquis,6.28
acquisition,3.78
acquit,2.23
acquittement,0.60
acquitter,6.82
acquitté,0.35
acquéreur,1.08
acquérir,29.66
acquêt,0.20
acra,0.27
acre,0.83
acrimonie,0.81
acrimonieusement,0.07
acrimonieux,0.14
acrobate,4.12
acrobatie,2.57
acrobatique,1.01
acrobatiquement,0.07
acrocéphale,0.07
acromion,0.14
acronyme,0.19
acrophobie,0.08
acropole,0.81
acrostiche,0.02
acrotère,0.07
acrylique,0.50
acrylonitrile,0.01
acré,0.20
acte,57.30
acteur,74.77
actif,13.65
actine,0.01
action,87.43
action painting,0.07
actionnaire,3.72
actionnariat,0.01
actionnement,0.07
actionner,5.61
actionneur,0.01
activant,0.07
activateur,0.10
activation,2.27
activement,3.51
activer,12.58
activisme,0.20
activiste,0.88
activité,38.92
activé,2.57
actuaire,0.03
actualisation,0.07
actualiser,0.34
actualité,8.72
actuariel,0.02
actuation,0.01
actuel,20.68
actuellement,16.69
acuité,3.18
acumen,0.07
acuponcteur,0.23
acuponcture,0.17
acupuncteur,0.11
acupuncture,0.79
acéphale,0.20
acéré,2.43
acétate,0.20
acétique,0.07
acétone,0.27
acétylcholine,0.25
acétylsalicylique,0.03
acétylène,1.96
ad hoc,0.81
ad infinitum,0.05
ad libitum,0.14
ad limina,0.07
ad majorem dei gloriam,0.14
ad nutum,0.07
ad patres,0.27
ad vitam aeternam,0.20
ada,0.05
adage,0.74
adagio,0.34
adamantin,0.20
adamique,0.14
adaptabilité,0.16
adaptable,0.20
adaptateur,0.41
adaptatif,0.07
adaptation,4.66
adapter,13.44
addenda,0.07
addendum,0.07
addiction,0.41
additif,0.21
addition,9.53
additionnel,0.34
additionner,2.64
adducteur,0.02
adduction,0.14
adent,0.01
adepte,2.84
adhérence,0.54
adhérent,1.01
adhérer,5.07
adhésif,1.05
adhésion,6.55
adieu,44.44
adipeux,1.28
adipique,0.03
adiposité,0.07
adja,1.01
adjacent,0.95
adjectif,3.51
adjoindre,2.97
adjoint,9.42
adjonction,0.41
adjudant,22.23
adjudant-chef,2.70
adjudant-major,0.05
adjudication,0.37
adjuger,1.64
adjupète,0.14
adjuration,0.34
adjurer,2.97
adjutrice,0.07
admettre,59.46
administrant,0.07
administrateur,4.95
administratif,11.08
administration,26.42
administrativement,0.14
administrer,8.04
administré,1.62
admirable,31.55
admirablement,4.73
admirateur,5.64
admiratif,6.96
admiration,32.70
admirativement,0.20
admirer,68.18
admis,1.96
admissibilité,0.07
admissible,0.61
admission,3.42
admixtion,0.07
admonestation,0.47
admonester,0.61
admonition,0.20
ado,3.40
adobe,0.08
adolescence,13.78
adolescent,25.20
adon,0.01
adonc,0.07
adoncques,0.07
adonies,0.07
adonis,0.28
adonner,5.74
adoptable,0.07
adoptant,0.07
adopter,29.86
adoptif,3.98
adoption,4.06
adopté,1.28
adorable,25.95
adorablement,0.27
adorant,0.20
adorateur,1.82
adoration,5.07
adorer,193.67
ados,3.27
adosser,16.89
adossé,0.34
adoubement,0.27
adouber,0.34
adouci,0.34
adoucir,11.01
adoucissant,0.14
adoucissement,0.61
adoucisseur,0.14
adp,0.04
adressage,0.01
adresse,73.92
adresser,98.04
adret,0.07
adriatique,0.14
adroit,4.86
adroitement,1.96
adrénaline,3.57
adulateur,0.10
adulation,0.81
aduler,1.62
adultat,0.14
adulte,27.64
adultère,3.69
adultération,0.07
adultérin,0.34
advenir,9.39
adventiste,0.27
adverbe,0.61
adversaire,25.14
adverse,4.32
adversité,2.16
adénine,0.01
adénocarcinome,0.04
adénome,0.07
adénopathie,0.01
adénosine,0.07
adénovirus,0.01
adéquat,4.80
adéquatement,0.03
adéquation,0.34
affabilité,1.28
affable,3.78
affablement,0.20
affabulation,1.22
affabuler,0.28
affacturage,0.01
affadir,1.35
affadissement,0.20
affaibli,2.57
affaiblir,7.84
affaiblissant,0.03
affaiblissement,1.49
affaire,393.83
affairement,0.54
affairer,13.38
affairisme,0.07
affairiste,0.14
affairé,2.64
affaissement,1.55
affaisser,11.22
affalement,0.14
affaler,14.05
affamer,6.62
affamé,6.08
affect,0.26
affectation,5.27
affecter,25.34
affectif,2.91
affection,31.22
affectionner,4.12
affectionné,0.41
affectivement,0.30
affectivité,0.41
affectueusement,3.38
affectueux,14.59
affecté,2.84
affermir,5.61
affermissement,0.14
affichage,1.49
affichant,0.07
affiche,19.86
afficher,19.26
affichette,1.35
afficheur,0.27
affichiste,0.20
affidavit,0.06
affidé,0.27
affiler,0.07
affiliation,0.33
affilier,0.74
affilié,0.41
affilé,4.19
affin,0.02
affinage,0.07
affinement,0.20
affiner,3.38
affinité,4.46
affiné,0.27
affirmatif,4.91
affirmation,6.42
affirmative,0.61
affirmativement,0.74
affirmer,63.51
affixé,0.07
affleurant,0.14
affleurement,0.88
affleurer,6.01
affliction,2.77
affligeant,1.62
affliger,5.95
affligé,1.66
affluence,2.64
affluent,0.95
affluer,7.50
afflux,2.30
affolant,2.57
affolement,5.34
affoler,20.54
affolé,11.49
affouage,0.14
affouillement,0.14
affranchi,1.82
affranchir,11.42
affranchissement,0.47
affreusement,5.61
affreux,39.46
affriander,0.27
affriolant,0.26
affrioler,0.27
affront,3.85
affrontement,4.05
affronter,30.72
affrètement,0.03
affréter,0.67
affréteur,0.07
affublement,0.14
affubler,6.55
affublé,0.47
affurer,1.49
afférent,0.34
afféterie,0.41
affût,11.35
affûtage,0.14
affûter,3.65
affûteur,0.07
afghan,1.48
aficionado,0.68
afin,0.95
afin d,0.07
afin de,43.18
afin qu,0.05
afin que,14.93
africain,12.09
africanisme,0.10
afrikaans,0.05
afrikaner,0.14
afro,1.21
