word,gender,freq
accusatrices,f,1.28
accusé,m,13.74
accusée,f,13.74
accusées,f,13.74
accusés,m,13.74
accès,m,29.53
accélérateur,m,3.51
accélérateurs,m,3.51
accélération,f,3.11
accélérations,f,3.11
accéléré,m,0.74
ace,m,2.48
acerbité,m,0.07
acetabulum,m,0.01
achalandage,m,0.07
achards,m,0.03
acharnement,m,8.24
acharnements,m,8.24
achat,m,16.96
achats,m,16.96
ache,f,0.20
acheminement,m,0.47
aches,f,0.20
acheteur,m,6.57
acheteurs,m,6.57
acheteuse,f,6.57
acheteuses,f,6.57
achillée,f,0.01
achondroplasie,f,0.04
achondroplasies,f,0.04
achoppement,m,0.14
achèvement,m,1.82
achèvements,m,1.82
achélème,m,1.69
achélèmes,m,1.69
acid jazz,m,0.03
acide,m,9.46
acides,m,9.46
acidité,f,0.95
acidités,f,0.95
acidocétose,f,0.08
acidose,f,0.22
acier,m,34.46
aciers,m,34.46
aciérie,f,2.21
aciéries,f,2.21
acmé,f,0.01
acné,f,1.90
acnés,f,1.90
acolyte,m,1.96
acolytes,m,1.96
acompte,m,3.67
acomptes,m,3.67
aconiers,m,0.07
aconit,m,0.34
acouphène,m,0.18
acoustique,f,0.57
acoustiques,f,0.57
acqua-toffana,f,0.07
acquiescement,m,2.84
acquiescements,m,2.84
acquis,m,1.69
acquisition,f,3.78
acquisitions,f,3.78
acquit,m,2.23
acquits,m,2.23
acquittement,m,0.60
acquitté,m,0.35
acquittés,m,0.35
acquéreur,m,1.08
acquéreurs,m,1.08
acquêt,m,0.20
acquêts,m,0.20
acra,m,0.27
acre,f,0.83
acres,f,0.83
acrimonie,f,0.81
acrobatie,f,2.57
acrobaties,f,2.57
acromion,m,0.14
acronyme,m,0.19
acrophobie,f,0.08
acropole,f,0.81
acrostiche,m,0.02
acrotère,m,0.07
acrylique,m,0.50
acryliques,m,0.50
acrylonitrile,m,0.01
acte,m,57.30
actes,m,57.30
acteur,m,74.77
acteurs,m,74.77
actif,m,1.58
actifs,m,1.58
actine,f,0.01
actinies,f,0.41
action,f,87.43
action painting,f,0.07
actionnariat,m,0.01
actionnement,m,0.07
actionneur,m,0.01
actions,f,87.43
activateur,m,0.10
activation,f,2.27
activations,f,2.27
activisme,m,0.20
activité,f,38.92
activités,f,38.92
actrice,f,74.77
actrices,f,74.77
actualisation,f,0.07
actualité,f,8.72
actualités,f,8.72
actuation,f,0.01
acuité,f,3.18
acumen,m,0.07
acuponcteur,m,0.23
acuponcture,f,0.17
acupuncteur,m,0.11
acupuncture,f,0.79
acéphale,m,0.20
acéphales,m,0.20
acétate,m,0.20
acétone,f,0.27
acétylcholine,f,0.25
acétylène,m,1.96
ada,m,0.05
adage,m,0.74
adages,m,0.74
adagio,m,0.34
adaptabilité,f,0.16
adaptateur,m,0.41
adaptateurs,m,0.41
adaptation,f,4.66
adaptations,f,4.66
addenda,m,0.07
addendum,m,0.07
addiction,f,0.41
additif,m,0.21
additifs,m,0.21
addition,f,9.53
additions,f,9.53
adducteur,m,0.02
adducteurs,m,0.02
adduction,f,0.14
adent,m,0.01
adhérence,f,0.54
adhérences,f,0.54
adhérent,m,1.01
adhérents,m,1.01
adhésif,m,0.76
adhésifs,m,0.76
adhésion,f,6.55
adhésions,f,6.55
adieu,m,44.44
adieux,m,44.44
adiposité,f,0.07
adja,m,1.01
adjas,m,1.01
adjectif,m,3.51
adjectifs,m,3.51
adjoint,m,9.42
adjointe,f,9.42
adjointes,f,9.42
adjoints,m,9.42
adjonction,f,0.41
adjudant,m,22.23
adjudant-chef,m,2.70
adjudant-major,m,0.05
adjudants,m,22.23
adjudants-chefs,m,2.70
adjudication,f,0.37
adjudications,f,0.37
adjupète,m,0.14
adjupètes,m,0.14
adjuration,f,0.34
adjurations,f,0.34
adjutrice,f,0.07
adjuvants,m,0.07
administrateur,m,4.95
administrateurs,m,4.95
administratif,m,0.41
administratifs,m,0.41
administration,f,26.42
administrations,f,26.42
administrative,f,0.41
administratrice,f,4.95
administré,m,0.61
administrée,f,0.61
administrées,f,0.61
administrés,m,0.61
admirateur,m,5.64
admirateurs,m,5.64
admiration,f,32.70
admirations,f,32.70
admiratrice,f,5.64
admiratrices,f,5.64
admis,m,0.27
admissibilité,f,0.07
admission,f,3.42
admissions,f,3.42
admixtion,f,0.07
admonestation,f,0.47
admonestations,f,0.47
admonition,f,0.20
admonitions,f,0.20
adobe,m,0.08
adolescence,f,13.78
adolescences,f,13.78
adolescent,m,25.20
adolescente,f,25.20
adolescentes,f,25.20
adolescents,m,25.20
adon,m,0.01
adonies,f,0.07
adonis,m,0.28
adoptant,m,0.07
adoption,f,4.06
adoptions,f,4.06
adopté,m,0.61
adoptée,f,0.61
adoptées,f,0.61
adoptés,m,0.61
adorateur,m,1.82
adorateurs,m,1.82
adoration,f,5.07
adorations,f,5.07
adoratrice,f,1.82
adoratrices,f,1.82
ados,m,3.27
adoubement,m,0.27
adoucissant,m,0.06
adoucissement,m,0.61
adoucissements,m,0.61
adoucisseur,m,0.14
adoucisseurs,m,0.14
adp,m,0.04
adressage,m,0.01
adresse,f,73.92
adresses,f,73.92
adret,m,0.07
adrénaline,f,3.57
adrénalines,f,3.57
adulateur,m,0.10
adulation,f,0.81
adulations,f,0.81
adultat,m,0.14
adultère,m,3.69
